review,sentiment
So we cancelled the order.  It was cancelled without any problem.  That is a positive note...,Negative
"Since Quaker has started only putting 8 bars in a box instead of 10 bars in a box, Amazon's price per granola bar is incorrect.  It's really not as good of a deal as it used to be. =(",Negative
"I tried to like this tea being that I bought a whole box, but I am still working on it going 4 months now. I drink at least one cup of tea at work everyday and I am partial to mint in my tea. However, there is little to no tea or mint flavor going on here. I have shared this with many people at work and it isn't just me.<br /><br />There are particles left behind in the tea bag with more aroma than the brewed tea itself. I always leave the bag in the cup as I drink it and it never gets stronger. There is nothing satisfying about it, I might as well just drink hot water.<br /><br />I do like stash teas but don't make my mistake, try it first. The packages I received are different than pictured now, maybe it has improved. I am disappointed.",Negative
"I have recently stopped eating a number of allergens (dairy, soy, nuts) and these were one of the few snacks which fit into my dietary restrictions.  Unfortunately, these were pretty gross - miserable texture and more cardboard flavored than berry.  I threw them away.  I would recommend the cocoa ones as they are much tastier and also allergen free.",Negative
Best tasting protein bars by far and I've tried just about every brand out there!!! So light and tasty like a wafer!! Love them!,Positive
"Honest Foods. Honest my Aunt Tilly. This item retails for $7.99 @ Costco, and you're selling it for $30.00. What are you sending in people to Costco to purchase and then hoard them so you can then bilk the public by $22.00 per selling unit. The public should know how you are ripping them off. This is a complete, and utter disgrace.",Negative
"Be aware, this seller is only fulfilled thru Amazon, not an Amazon product.  What was sent was 4 mini bars re-sealed, not a full package.<br /><br />From the description:""Pack of four boxes, each box contains 5 (0.8-Ounce) bars (total 20 bars, total 16 ounces)""  We only got 4 bars removed from the box and repackaged.<br /><br />The bars are fantastic and I love them but won't get them thru Amazon anymore.  Off to REI I go.",Negative
"These are terrible, I struggled through eating the first bag, then just tossed the other bags.  I opened the first bag and handed these out to my coworkers to ensure it was not just me, but there is unanimous agreement, terrible and NOT crunchie, as the namesake suggests.  The texture is like rubbery styrofoam.  The only thing I can say is these are yucky rubbery artificial-like taste. Maybe it is freeze-dried strawberries that just taste like this, but I will not be ordering freeze-dried strawberry anything after getting a taste of these.",Negative
"Wow.  These are unlike any snack/health bar I've ever had.  Cocoa Mole' is such a great flavor- nice and chocolatey with a kick of chili pepper- works great as a mid-morning snack!  I like almost all the other Larabar flavors- except the banana which is kind of bland.  Can hardly wait to try the Key Lime Pie and the Pistachio flavors.  I wish these bars were sold in regular grocery stores, it's a long drive to Wild Oats from where I live...",Positive
"I bought this product before they reformulated it, and of course now. This product has definitely changed for the worse. The texture is not crispy at all, and even borders on tasting stale. There were many crumbs in the bag, and the package has been downsized from 1.5 ounces to 1.2 ounces. Not much to like here anymore. I will be removing it from my subscribe and save. What a disappointment, because I really did enjoy them before.<br /><br />I am not allowed to review them independently but, there are several flavors if this product. At this time the Lemon Herb is still 1.5 ounces and the original formula. This could change at any time. I ordered another 12 pack of them before that formula also inevitably changes - they were terrific.<br /><br />C'est la vie",Negative
My puppy just preferred to eat the toy than the treats. My older dogs were curious but did not do any thing. However the red plastic is pretty stong. My dog has been chewing on it for a few days. So if anything it gives your dog something to chew on other than your shoes.,Negative
"My Cats are on a Grain Free Dry Food, I decided to add some wholesome Grain Free Canned Food, Wellness was said to have an excellent product, and I have no doubt that they do, my cats in the past would eat any slop that comes out of a can, but I wanted quality for them as I finally got them on a quality dry food, Unfortunately, they turned up their nose at the Wellness Beef & Chicken Grain Free Canned, I have even tried the other variety of flavors... no dice, they will not even try it, they will lap up the juices and leave the bowl.  12 paws down from this 3 cat household.",Negative
"The quality of the pumpkin itself is quite good.  However, it was just shipped out in the warehouse carton and all of the cans were badly dented.  I won't order this item again.",Negative
"The Ginger Snap Larabars are great as are many other flavors.  These are a wonderful and healthy on the go snack.  Although the texture is a bit strange at first since they are so soft, you'll get used to it quickly.  These saved my on-the-go breakfast lifestyle after I discovered my gluten and dairy allergies! Definitely recommend this product.<br /><br />My favorite flavors are Ginger Snap, Pecan Pie, Cherry Pie and Apple Pie. Enjoy!",Positive
"I just happened to see this item at the store when I was looking for Chunky soup, and decided to try it.  IT IS AWESOME!  It bursts with flavor and texture.  It is easy to heat in the pouch, then consume.  This item will definitely be added to my regular lunch rotation.  I have only tried Curry Coconut Chicken so far, but the others look good, too.  This stuff is really good.  (I hope it doesn't turn out to be ""The Stuff"".)<br /><br />NOTE: This item, like all prepared soups, is high in sodium--not recommended for the sodium-restricted.",Positive
"One must know that this dieter's tea helps mostly by moving your bowels along.  Be careful at first, or it will be unpleasant!",Positive
This is a very good cat food; high quality and eagerly gobbled up by 8 picky cats at our house.  Be aware that it is $10 cheaper for the same sized bag at Walmart.  Jest sayin'.....,Positive
"I would love to only feed my baby homemade baby food, but since that isn't an option, due to time constraints, I love using the HappyBaby brand.At least I know it's healthy!",Positive
"I had been purchasing this product for several months at our local grocery store.  The product became unavailable and I couldn""t find it anywhere.  Someone mentioned Amazon so I searched and found it at a decent price.  However, after receiving it and having a cup -  it TASTED nothing like the store bought product.  It tastes exactly like milk chocolate not the dark chocolate it is suppose to be.  There is no way this is the same product - whether its an error in packaging or just a different product I'm not sure.  Now I'm stuck with 100 packs of cocoa that I do not want.  Beware !!!",Negative
"I've never been a big fan of palak (spinach). However, the major problem with this item is that the palak gravy is too thin and the paneer tastes really bad.<br /><br />To make matters worse, the sodium level in this product is ridiculously high. I bought this product thinking that it would be slightly more healthy compared to other packed-food products but the high-sodium level ruined it.<br /><br />That said, some of the other products by this brand, for example 'dal bukhara' and 'rajma', taste much better. And if you are looking for healthy food, I guess you should be looking somewhere else. Buying some fresh vegetables at the local grocery store might be a good start in that regard.",Negative
"I am a big fan of Primal Strips. In fact, I loved the first flavor so much (Texas BBQ) I decided to buy others and really enjoyed it all with the exception of Mesquite Lime. Luckily, this was the last flavor I purchased and I was displeasantly surprised. I had a rough time even swallowing my first bite! Yes, it was that bad. The ""lime"" in this was horridly instense, very vinegar like. It is really all you can taste. So... if you like biting into a meaty-textured product with an overbearing flavor of vinegar, you may probably enjoy this flavor. Otherwise, if you are like me, stick to the other enjoyable, tasty flavors this wonderful vegan product has to offer.",Negative
I have been buying Garden of Life products for several years now and have tried other coconut oils but still come back to Garden of Life.  Even though it cost more than other brands it still taste the best.,Positive
"All of my cats adore these treats. One cat in particular nags me constantly to feed him some and if I don't give him enough, he jumps up beside me and pokes me repeatedly with one claw. Great price, too!!!",Positive
"Tastes pure, love the electrolytes.  Seems to rehydrate me very well on long hikes in the NM desert.  I prefer the clean taste of this water to sport drinks.  It is expensive, so I reserve it for my more aggressive hikes.",Positive
"I didn't realize that it had so much artificial color in it and mineral oil. These are things I try to stay away from. However, I have used the product for about a week now. I plan to throw it out.  I really haven't seen any difference other than my scalp itching like crazy and green residue everywhere. I am disappointed that it is not an all natural product.",Negative
"I like spicy food, most of the snacks labeled as spicy don't cut it, this snack has a good spice level, spicy but still edible<br />I tend to not like kettle cooked chips, the lays and capecod namebrand I don't like, the only ones I do like are the kettle cooked name brand spicy thai<br /><br />That said, these chips are gross<br />They are thick and stale, the 2 things I hate about kettle cooked chips, the texture is way off<br />The spice level is perfect, but the taste? bleackh<br />The taste is what I imagine chewing on moldy cardboard is like<br />These chips are nasty gross<br /><br />I wish I could get my money back, they were expensive<br />not worth it",Negative
"Who doesn't love Chuckles.  It is really fun to have it around because people always want one.  They say ""oh, I remember those, can I have one"".  So, you make guests happy in the beginning of the evening, it's great.",Positive
"Based on the reviews, I had high hopes for making a great cherry pie using these cherries. Sour cherries are hard to come by where I live.  However, I was very disappointed.  The cherries are a light, pinkish color and are bland and tasteless. I followed the recipe directions inside the label for cherry pie filling, but it still came out a little watery.<br /><br />Overall, I don't think I'll try making cherry pie again unless I can get my hands on some fresh cherries.",Negative
"I weight train so I have eaten just about every brand of oatmeal under the sun, and I purchased this oatmeal particulary because it had 9 grams of protein in it, but this stuff is REPULSIVE.<br />The flavor is weird, and the texture of like runny instant mashed potatos that havent been cooked all the way through.<br /><br />There are plenty of brands of oatmeal that are just as healthy and whole, that actually taste good. There is no reason nor excuse for why this oatmeal is as gross as it is.<br /><br />I won't be purchasing it again!",Negative
I don't appreciate that there is absolutely NO nutritian information about this product on the Amazon website.  Lots of flowery language but no facts.,Negative
